model,strategy,class,precision,recall,f1,support
Qwen-2.5-14B,zero_shot,Low,0.2059,0.6364,0.3111,11
Qwen-2.5-14B,zero_shot,Medium,0.8614,0.8295,0.8452,352
Qwen-2.5-14B,zero_shot,High,0.7422,0.6884,0.7143,138
Qwen-2.5-14B,fewshot_random,Low,0.1139,0.8182,0.2,11
Qwen-2.5-14B,fewshot_random,Medium,0.8344,0.7159,0.7706,352
Qwen-2.5-14B,fewshot_random,High,0.75,0.6522,0.6977,138
Qwen-2.5-14B,retrieval,Low,0.2414,0.6364,0.35,11
Qwen-2.5-14B,retrieval,Medium,0.9022,0.8125,0.855,352
Qwen-2.5-14B,retrieval,High,0.7161,0.8043,0.7577,138
Qwen-2.5-14B,retrieval_global,Low,0.4,0.3636,0.381,11
Qwen-2.5-14B,retrieval_global,Medium,0.9056,0.8722,0.8886,352
Qwen-2.5-14B,retrieval_global,High,0.7434,0.8188,0.7793,138
Mistral-Nemo-12B,zero_shot,Low,1.0,0.1818,0.3077,11
Mistral-Nemo-12B,zero_shot,Medium,0.8958,0.7812,0.8346,352
Mistral-Nemo-12B,zero_shot,High,0.599,0.8333,0.697,138
Mistral-Nemo-12B,fewshot_random,Low,0.3182,0.6364,0.4242,11
Mistral-Nemo-12B,fewshot_random,Medium,0.9205,0.7898,0.8502,352
Mistral-Nemo-12B,fewshot_random,High,0.6667,0.8551,0.7492,138
Mistral-Nemo-12B,retrieval,Low,0.4444,0.3636,0.4,11
Mistral-Nemo-12B,retrieval,Medium,0.8753,0.9375,0.9053,352
Mistral-Nemo-12B,retrieval,High,0.8522,0.7101,0.7747,138
Mistral-Nemo-12B,retrieval_global,Low,0.4,0.1818,0.25,11
Mistral-Nemo-12B,retrieval_global,Medium,0.8404,0.9574,0.8951,352
Mistral-Nemo-12B,retrieval_global,High,0.8737,0.6014,0.7124,138
Gemma-3-12B,zero_shot,Low,0.1935,0.5455,0.2857,11
Gemma-3-12B,zero_shot,Medium,0.8643,0.8324,0.848,352
Gemma-3-12B,zero_shot,High,0.7405,0.7029,0.7212,138
Gemma-3-12B,fewshot_random,Low,0.175,0.6364,0.2745,11
Gemma-3-12B,fewshot_random,Medium,0.8679,0.821,0.8438,352
Gemma-3-12B,fewshot_random,High,0.7656,0.7101,0.7368,138
Gemma-3-12B,retrieval,Low,0.2222,0.7273,0.3404,11
Gemma-3-12B,retrieval,Medium,0.8863,0.8636,0.8748,352
Gemma-3-12B,retrieval,High,0.8361,0.7391,0.7846,138
Gemma-3-12B,retrieval_global,Low,0.5455,0.5455,0.5455,11
Gemma-3-12B,retrieval_global,Medium,0.8803,0.9403,0.9093,352
Gemma-3-12B,retrieval_global,High,0.8596,0.7101,0.7778,138
Gemma-3-12B (SC),retrieval_global_sc,Low,0.4615,0.5455,0.5,11
Gemma-3-12B (SC),retrieval_global_sc,Medium,0.8639,0.9375,0.8992,352
Gemma-3-12B (SC),retrieval_global_sc,High,0.8585,0.6594,0.7459,138
Majority-class,supervised,Low,0.0,0.0,0.0,11
Majority-class,supervised,Medium,0.7026,1.0,0.8253,352
Majority-class,supervised,High,0.0,0.0,0.0,138
TF-IDF + LogReg,supervised,Low,1.0,0.1818,0.3077,11
TF-IDF + LogReg,supervised,Medium,0.8642,0.9403,0.9007,352
TF-IDF + LogReg,supervised,High,0.819,0.6884,0.748,138
TF-IDF + LogReg (bal.),supervised,Low,0.3333,0.5455,0.4138,11
TF-IDF + LogReg (bal.),supervised,Medium,0.9207,0.858,0.8882,352
TF-IDF + LogReg (bal.),supervised,High,0.7548,0.8478,0.7986,138
