model,strategy,accuracy,f1_weighted,f1_macro,cohen_kappa,mcc,mae_ordinal,rank_acc_pm1,spearman_rho,parse_fails,elapsed_min
Gemma-3-12B,retrieval_global,0.8683,0.8651,0.7442,0.6783,0.6832,0.1317,1.0,0.7109,0,23.8
Mistral-Nemo-12B,retrieval,0.8623,0.8583,0.6934,0.6622,0.6672,0.1377,1.0,0.6982,0,10.6
TF-IDF + LogReg,supervised,0.8543,0.8456,0.6521,0.6348,0.6421,0.1457,1.0,0.6631,0,0.1
Gemma-3-12B (SC),retrieval_global_sc,0.8523,0.8482,0.715,0.6357,0.6434,0.1477,1.0,0.6774,0,45.2
TF-IDF + LogReg (bal.),supervised,0.8483,0.8531,0.7002,0.6659,0.6694,0.1517,1.0,0.7127,0,0.1
Qwen-2.5-14B,retrieval_global,0.8463,0.8473,0.6829,0.6512,0.6524,0.1537,1.0,0.6879,0,14.7
Mistral-Nemo-12B,retrieval_global,0.8423,0.8306,0.6192,0.5906,0.6102,0.1577,1.0,0.6381,0,10.7
Gemma-3-12B,retrieval,0.8263,0.8382,0.6666,0.6144,0.6175,0.1737,1.0,0.6946,0,23.8
Qwen-2.5-14B,retrieval,0.8064,0.8171,0.6542,0.5871,0.5935,0.1936,1.0,0.6568,0,14.5
Mistral-Nemo-12B,fewshot_random,0.8044,0.813,0.6745,0.5909,0.6035,0.1956,1.0,0.6521,0,15.4
Gemma-3-12B,zero_shot,0.7904,0.8008,0.6183,0.5355,0.5375,0.2096,1.0,0.6142,0,16.9
Qwen-2.5-14B,zero_shot,0.7864,0.7974,0.6235,0.5283,0.5307,0.2136,1.0,0.6109,0,6.5
Gemma-3-12B,fewshot_random,0.7864,0.8018,0.6184,0.5366,0.5407,0.2136,1.0,0.6319,0,30.4
Mistral-Nemo-12B,zero_shot,0.7824,0.7851,0.6131,0.5309,0.5434,0.2176,1.0,0.5773,0,5.7
Majority-class,supervised,0.7026,0.5799,0.2751,0.0,0.0,0.2974,1.0,0.0,0,0.0
Qwen-2.5-14B,fewshot_random,0.7006,0.738,0.5561,0.4095,0.4253,0.2994,1.0,0.5922,0,22.4
