model,strategy,accuracy,acc_ci_lo,acc_ci_hi,f1_macro,f1m_ci_lo,f1m_ci_hi
Gemma-3-12B,retrieval_global,0.8683,0.8383,0.8962,0.7442,0.6387,0.8245
Mistral-Nemo-12B,retrieval,0.8623,0.8323,0.8922,0.6934,0.5866,0.7842
TF-IDF + LogReg,supervised,0.8543,0.8224,0.8842,0.6521,0.5364,0.7615
Gemma-3-12B (SC),retrieval_global_sc,0.8523,0.8204,0.8822,0.715,0.6132,0.796
TF-IDF + LogReg (bal.),supervised,0.8483,0.8164,0.8802,0.7002,0.6122,0.7761
Qwen-2.5-14B,retrieval_global,0.8463,0.8144,0.8782,0.6829,0.5812,0.7725
Mistral-Nemo-12B,retrieval_global,0.8423,0.8104,0.8743,0.6192,0.5233,0.7173
Gemma-3-12B,retrieval,0.8263,0.7924,0.8603,0.6666,0.5991,0.7303
Qwen-2.5-14B,retrieval,0.8064,0.7705,0.8403,0.6542,0.5804,0.7216
Mistral-Nemo-12B,fewshot_random,0.8044,0.7685,0.8383,0.6745,0.5903,0.7469
Gemma-3-12B,zero_shot,0.7904,0.7545,0.8263,0.6183,0.5487,0.6847
Qwen-2.5-14B,zero_shot,0.7864,0.7505,0.8224,0.6235,0.5549,0.6892
Gemma-3-12B,fewshot_random,0.7864,0.7505,0.8224,0.6184,0.5565,0.6806
Mistral-Nemo-12B,zero_shot,0.7824,0.7465,0.8184,0.6131,0.4978,0.7223
Majority-class,supervised,0.7026,0.6627,0.7425,0.2751,0.2657,0.2841
Qwen-2.5-14B,fewshot_random,0.7006,0.6607,0.7405,0.5561,0.5078,0.6045
